Data,Descrição,Valor,Tipo
01/01/2025,Salário - Empresa XYZ,8500.00,Receita
05/01/2025,Supermercado Extra,-450.50,Despesa
07/01/2025,Combustível - Posto Shell,-200.00,Despesa
10/01/2025,Restaurante Italiano,-180.00,Despesa
12/01/2025,Freelance - Projeto Web,2500.00,Receita
15/01/2025,Netflix - Assinatura,-49.90,Despesa
15/01/2025,Spotify Premium,-21.90,Despesa
18/01/2025,Farmácia Drogasil,-85.30,Despesa
20/01/2025,Conta de Luz,-220.50,Despesa
22/01/2025,Internet Fibra,-129.90,Despesa
25/01/2025,Academia - Mensalidade,-150.00,Despesa
27/01/2025,Uber - Viagens,-95.00,Despesa
28/01/2025,Dividendos ITSA4,125.30,Receita
30/01/2025,Supermercado Carrefour,-380.00,Despesa
