Aeternum International Card
Cartão final: 3683
Ciclo de faturamento: Agosto/2024

Data,Histórico,Valor(US$),Valor(R$)
15/08/2024,AMAZON MARKETPLACE,25.00,125.50
16/08/2024,NETFLIX SUBSCRIPTION,14.99,75.20
18/08/2024,APPLE.COM/BILL,9.99,50.15
20/08/2024,SPOTIFY PREMIUM,11.99,60.20
22/08/2024,DROPBOX SUBSCRIPTION,11.99,60.20
25/08/2024,MICROSOFT 365,6.99,35.10
28/08/2024,ADOBE CREATIVE CLOUD,54.99,276.00
30/08/2024,GITHUB PRO,4.00,20.10

Total do ciclo (USD): 140.93
Total do ciclo (BRL): 702.45
Taxa de câmbio média: 5.02
